away_final_score,away_team,g_id,home_final_score,home_team
3,sln,201500001.0,0,chn
1,ana,201500002.0,4,sea
2,atl,201500003.0,1,mia
6,bal,201500004.0,2,tba
8,bos,201500005.0,0,phi
1,cha,201500006.0,10,kca
0,cle,201500007.0,2,hou
10,col,201500008.0,0,mil
0,min,201500009.0,4,det
3,nyn,201500010.0,1,was
2,pit,201500011.0,5,cin
3,sdn,201500012.0,6,lan
5,sfn,201500013.0,4,ari
0,tex,201500014.0,8,oak
6,tor,201500015.0,1,nya
2,ana,201500016.0,0,sea
12,atl,201500017.0,2,mia
6,bal,201500018.0,5,tba
5,col,201500019.0,2,mil
7,sdn,201500020.0,3,lan
6,sfn,201500021.0,7,ari
3,tex,201500022.0,1,oak
5,ana,201500023.0,3,sea
2,atl,201500024.0,0,mia
0,bal,201500025.0,2,tba
2,bos,201500026.0,4,phi
5,cha,201500027.0,7,kca
2,cle,201500028.0,0,hou
5,col,201500029.0,4,mil
0,min,201500030.0,11,det
1,nyn,201500031.0,2,was
4,pit,201500032.0,5,cin
4,sdn,201500033.0,7,lan
5,sfn,201500034.0,2,ari
0,sln,201500035.0,2,chn
0,tex,201500036.0,10,oak
3,tor,201500037.0,4,nya
6,bos,201500038.0,2,phi
1,cha,201500039.0,4,kca
5,cle,201500040.0,1,hou
1,min,201500041.0,7,det
6,nyn,201500042.0,3,was
2,pit,201500043.0,3,cin
1,sfn,201500044.0,0,sdn
10,tex,201500045.0,1,oak
6,tor,201500046.0,3,nya
6,bos,201500047.0,5,nya
1,chn,201500048.0,5,col
8,det,201500049.0,4,cle
5,hou,201500050.0,1,tex
4,kca,201500051.0,2,ana
3,lan,201500052.0,4,ari
6,min,201500053.0,0,cha
3,nyn,201500054.0,5,atl
6,pit,201500055.0,2,mil
0,sea,201500056.0,12,oak
0,sfn,201500057.0,1,sdn
4,sln,201500058.0,5,cin
9,tba,201500059.0,10,mia
12,tor,201500060.0,5,bal
1,was,201500061.0,4,phi
8,bos,201500062.0,4,nya
9,chn,201500063.0,5,col
9,det,201500064.0,6,cle
2,hou,201500065.0,6,tex
6,kca,201500066.0,4,ana
0,lan,201500067.0,6,ari
4,min,201500068.0,5,cha
3,nyn,201500069.0,5,atl
0,pit,201500070.0,6,mil
5,sea,201500071.0,4,oak
2,sfn,201500072.0,10,sdn
4,sln,201500073.0,1,cin
2,tba,201500074.0,0,mia
1,tor,201500075.0,7,bal
2,was,201500076.0,3,phi
4,bos,201500077.0,14,nya
6,chn,201500078.0,5,col
8,det,201500079.0,5,cle
6,hou,201500080.0,4,tex
9,kca,201500081.0,2,ana
7,lan,201500082.0,4,ari
2,min,201500083.0,6,cha
4,nyn,201500084.0,3,atl
10,pit,201500085.0,2,mil
8,sea,201500086.0,7,oak
4,sfn,201500087.0,6,sdn
7,sln,201500088.0,5,cin
8,tba,201500089.0,5,mia
10,tor,201500090.0,7,bal
4,was,201500091.0,3,phi
6,ana,201500092.0,3,tex
8,ari,201500093.0,4,sdn
6,cin,201500094.0,7,chn
2,col,201500095.0,0,sfn
4,det,201500096.0,5,pit
12,kca,201500097.0,3,min
2,mia,201500098.0,3,atl
5,mil,201500099.0,4,sln
6,nya,201500100.0,5,bal
8,oak,201500101.0,1,hou
0,phi,201500102.0,2,nyn
5,sea,201500103.0,6,lan
2,tba,201500104.0,1,tor
4,was,201500105.0,9,bos
2,ana,201500106.0,8,tex
1,ari,201500107.0,5,sdn
4,cha,201500108.0,1,cle
3,cin,201500109.0,2,chn
4,col,201500110.0,1,sfn
2,det,201500111.0,0,pit
8,mia,201500112.0,2,atl
3,nya,201500113.0,4,bal
4,oak,201500114.0,0,hou
5,phi,201500115.0,6,nyn
5,sea,201500116.0,6,lan
3,tba,201500117.0,2,tor
7,was,201500118.0,8,bos
10,ana,201500119.0,2,tex
2,ari,201500120.0,3,sdn
2,cha,201500121.0,4,cle
0,cin,201500122.0,5,chn
4,col,201500123.0,2,sfn
1,det,201500124.0,0,pit
1,kca,201500125.0,3,min
6,mia,201500126.0,2,atl
2,mil,201500127.0,4,sln
5,nya,201500128.0,7,bal
1,oak,201500129.0,6,hou
1,phi,201500130.0,6,nyn
2,sea,201500131.0,5,lan
7,tba,201500132.0,12,tor
10,was,201500133.0,5,bos
7,ari,201500134.0,6,sfn
5,kca,201500135.0,8,min
5,mia,201500136.0,7,nyn
